[INFO ] [2022-03-25 22:23:15,257] Browser:Chrome
[INFO ] [2022-03-25 22:24:14,749] Browser:Chrome
[INFO ] [2022-03-25 22:25:18,398] Browser:Chrome
[INFO ] [2022-03-25 22:26:57,389] Browser:Chrome
[INFO ] [2022-03-25 22:27:02,504] Verify getMessageRegisterSuccess
[INFO ] [2022-03-25 22:27:03,299] Click login link
[INFO ] [2022-03-25 22:27:13,977] Verify My account is display
[INFO ] [2022-03-25 22:28:12,068] Browser:Chrome
[INFO ] [2022-03-25 22:28:16,148] Verify getMessageRegisterSuccess
[INFO ] [2022-03-25 22:28:16,193] -------------PASS----------------
[INFO ] [2022-03-25 22:28:16,965] Click login link
[INFO ] [2022-03-25 22:28:18,628] --------------FAIL----------------
[INFO ] [2022-03-25 22:28:24,837] -------------PASS----------------
[INFO ] [2022-03-25 22:28:27,855] Verify My account is display
[INFO ] [2022-03-25 22:28:27,899] -------------PASS----------------
[INFO ] [2022-03-27 18:12:54,483] Browser:Chrome
[INFO ] [2022-03-27 18:12:58,991] Register - Click to link to redirect to register page
[INFO ] [2022-03-27 18:12:59,551] Register - Register to Portal User
[INFO ] [2022-03-27 18:13:00,835] Verify get Message Register Success
[INFO ] [2022-03-27 18:13:00,883] -------------PASS----------------
[INFO ] [2022-03-27 18:13:00,883] Register - Click logout
[INFO ] [2022-03-27 18:13:01,684] Click login link
[INFO ] [2022-03-27 18:13:02,200] Login - user login to portal user
[INFO ] [2022-03-27 18:13:03,082] Login - Verify My Account display
[INFO ] [2022-03-27 18:13:03,125] --------------FAIL----------------
[INFO ] [2022-03-27 18:13:03,135] Login - open Customer Infor Page 
[INFO ] [2022-03-27 18:13:04,142] Login - Logout Portal User page
[INFO ] [2022-03-27 18:13:04,851] Login  Open link Admin page
[INFO ] [2022-03-27 18:13:06,663] Login- Login Admin page with email admin@yourstore.com password admin
[INFO ] [2022-03-27 18:13:09,857] -------------PASS----------------
[INFO ] [2022-03-27 18:13:09,857] Login - Logout Portal Admin page
[INFO ] [2022-03-27 18:13:11,442] Login  Open link Portal page
[INFO ] [2022-03-27 18:13:13,131] Verify My account is display
[INFO ] [2022-03-27 18:13:13,171] -------------PASS----------------
[INFO ] [2022-03-27 18:14:40,819] Browser:Chrome
[INFO ] [2022-03-27 18:14:42,884] Register - Click to link to redirect to register page
[INFO ] [2022-03-27 18:14:43,447] Register - Register to Portal User
[INFO ] [2022-03-27 18:14:44,641] Verify get Message Register Success
[INFO ] [2022-03-27 18:14:44,689] -------------PASS----------------
[INFO ] [2022-03-27 18:14:44,689] Register - Click logout
[INFO ] [2022-03-27 18:14:45,449] Click login link
[INFO ] [2022-03-27 18:14:45,974] Login - user login to portal user
[INFO ] [2022-03-27 18:14:46,838] Login - Verify My Account display
[INFO ] [2022-03-27 18:14:46,880] --------------FAIL----------------
[INFO ] [2022-03-27 18:14:46,881] Login - open Customer Infor Page 
[INFO ] [2022-03-27 18:14:47,538] Login - Logout Portal User page
[INFO ] [2022-03-27 18:14:48,263] Login  Open link Admin page
[INFO ] [2022-03-27 18:14:49,326] Login- Login Admin page with email admin@yourstore.com password admin
[INFO ] [2022-03-27 18:14:51,548] -------------PASS----------------
[INFO ] [2022-03-27 18:14:51,548] Login - Logout Portal Admin page
[INFO ] [2022-03-27 18:14:52,800] Login  Open link Portal page
[INFO ] [2022-03-27 18:14:54,629] Verify My account is display
[INFO ] [2022-03-27 18:14:54,667] -------------PASS----------------
[INFO ] [2022-03-27 18:28:21,222] Browser:Chrome
[INFO ] [2022-03-27 18:28:24,287] Register - Click to link to redirect to register page
[INFO ] [2022-03-27 18:28:24,830] Register - Register to Portal User
[INFO ] [2022-03-27 18:28:26,047] Verify get Message Register Success
[INFO ] [2022-03-27 18:28:26,092] -------------PASS----------------
[INFO ] [2022-03-27 18:28:26,092] Register - Click logout
[INFO ] [2022-03-27 18:28:26,824] Click login link
[INFO ] [2022-03-27 18:28:27,338] Login - user login to portal user
[INFO ] [2022-03-27 18:28:28,218] Login - Verify My Account display
[INFO ] [2022-03-27 18:28:28,258] --------------FAIL----------------
[INFO ] [2022-03-27 18:28:28,259] Login - open Customer Infor Page 
[INFO ] [2022-03-27 18:28:28,789] Login - Logout Portal User page
[INFO ] [2022-03-27 18:28:29,559] Login  Open link Admin page
[INFO ] [2022-03-27 18:28:31,446] Login- Login Admin page with email admin@yourstore.com password admin
[INFO ] [2022-03-27 18:28:34,484] -------------PASS----------------
[INFO ] [2022-03-27 18:28:34,484] Login - Logout Portal Admin page
[INFO ] [2022-03-27 18:28:35,914] Login  Open link Portal page
[INFO ] [2022-03-27 18:28:37,711] Verify My account is display
[INFO ] [2022-03-27 18:28:37,750] -------------PASS----------------
[INFO ] [2022-03-27 18:28:37,861] Browser:Firefox
[INFO ] [2022-03-27 18:31:18,943] Browser:Firefox
[INFO ] [2022-03-27 18:33:12,549] Browser:FireFox
[INFO ] [2022-03-27 18:33:20,919] Register - Click to link to redirect to register page
[INFO ] [2022-03-27 18:33:21,424] Register - Register to Portal User
[INFO ] [2022-03-27 18:33:22,344] Verify get Message Register Success
[INFO ] [2022-03-27 18:33:22,382] -------------PASS----------------
[INFO ] [2022-03-27 18:33:22,382] Register - Click logout
[INFO ] [2022-03-27 18:33:23,036] Click login link
[INFO ] [2022-03-27 18:33:23,534] Login - user login to portal user
[INFO ] [2022-03-27 18:33:24,221] Login - Verify My Account display
[INFO ] [2022-03-27 18:33:24,263] --------------FAIL----------------
[INFO ] [2022-03-27 18:33:24,263] Login - open Customer Infor Page 
[INFO ] [2022-03-27 18:33:24,759] Login - Logout Portal User page
[INFO ] [2022-03-27 18:33:25,411] Login  Open link Admin page
[INFO ] [2022-03-27 18:33:26,972] Login- Login Admin page with email admin@yourstore.com password admin
[INFO ] [2022-03-27 18:33:29,972] -------------PASS----------------
[INFO ] [2022-03-27 18:33:29,972] Login - Logout Portal Admin page
[INFO ] [2022-03-27 18:33:31,051] Login  Open link Portal page
[INFO ] [2022-03-27 18:33:32,471] Verify My account is display
[INFO ] [2022-03-27 18:33:32,510] -------------PASS----------------
[INFO ] [2022-03-27 18:33:42,028] Browser:Chrome
[INFO ] [2022-03-27 18:33:44,826] Register - Click to link to redirect to register page
[INFO ] [2022-03-27 18:33:45,341] Register - Register to Portal User
[INFO ] [2022-03-27 18:33:46,469] Verify get Message Register Success
[INFO ] [2022-03-27 18:33:46,513] -------------PASS----------------
[INFO ] [2022-03-27 18:33:46,513] Register - Click logout
[INFO ] [2022-03-27 18:33:47,253] Click login link
[INFO ] [2022-03-27 18:33:47,732] Login - user login to portal user
[INFO ] [2022-03-27 18:33:48,532] Login - Verify My Account display
[INFO ] [2022-03-27 18:33:48,573] --------------FAIL----------------
[INFO ] [2022-03-27 18:33:48,574] Login - open Customer Infor Page 
[INFO ] [2022-03-27 18:33:49,067] Login - Logout Portal User page
[INFO ] [2022-03-27 18:33:49,850] Login  Open link Admin page
[INFO ] [2022-03-27 18:33:51,336] Login- Login Admin page with email admin@yourstore.com password admin
[INFO ] [2022-03-27 18:33:54,192] -------------PASS----------------
[INFO ] [2022-03-27 18:33:54,192] Login - Logout Portal Admin page
[INFO ] [2022-03-27 18:33:55,361] Login  Open link Portal page
[INFO ] [2022-03-27 18:33:56,983] Verify My account is display
[INFO ] [2022-03-27 18:33:57,020] -------------PASS----------------
[INFO ] [2022-03-27 18:33:57,114] Browser:FireFox
[INFO ] [2022-03-27 18:34:01,142] Register - Click to link to redirect to register page
[INFO ] [2022-03-27 18:34:01,638] Register - Register to Portal User
[INFO ] [2022-03-27 18:34:02,582] Verify get Message Register Success
[INFO ] [2022-03-27 18:34:02,612] -------------PASS----------------
[INFO ] [2022-03-27 18:34:02,612] Register - Click logout
[INFO ] [2022-03-27 18:34:03,306] Click login link
[INFO ] [2022-03-27 18:34:03,803] Login - user login to portal user
[INFO ] [2022-03-27 18:34:04,589] Login - Verify My Account display
[INFO ] [2022-03-27 18:34:04,635] --------------FAIL----------------
[INFO ] [2022-03-27 18:34:04,635] Login - open Customer Infor Page 
[INFO ] [2022-03-27 18:34:05,161] Login - Logout Portal User page
[INFO ] [2022-03-27 18:34:05,894] Login  Open link Admin page
[INFO ] [2022-03-27 18:34:07,744] Login- Login Admin page with email admin@yourstore.com password admin
[INFO ] [2022-03-27 18:34:11,160] -------------PASS----------------
[INFO ] [2022-03-27 18:34:11,160] Login - Logout Portal Admin page
[INFO ] [2022-03-27 18:34:12,450] Login  Open link Portal page
[INFO ] [2022-03-27 18:34:14,441] Verify My account is display
[INFO ] [2022-03-27 18:34:14,485] -------------PASS----------------
[INFO ] [2022-03-28 22:11:30,968] Browser:Chrome
[INFO ] [2022-03-28 22:11:35,513] Register - Click to link to redirect to register page
[INFO ] [2022-03-28 22:11:36,072] Register - Register to Portal User
[INFO ] [2022-03-28 22:11:37,296] Verify get Message Register Success
[INFO ] [2022-03-28 22:11:37,344] -------------PASS----------------
[INFO ] [2022-03-28 22:11:37,344] Register - Click logout
[INFO ] [2022-03-28 22:11:38,079] Click login link
[INFO ] [2022-03-28 22:11:38,735] Login - user login to portal user
[INFO ] [2022-03-28 22:11:39,622] Login - Verify My Account display
[INFO ] [2022-03-28 22:11:39,665] --------------FAIL----------------
[INFO ] [2022-03-28 22:11:39,680] Login - open Customer Infor Page 
[INFO ] [2022-03-28 22:11:40,213] Login - Logout Portal User page
[INFO ] [2022-03-28 22:11:41,015] Login  Open link Admin page
[INFO ] [2022-03-28 22:11:42,634] Login- Login Admin page with email admin@yourstore.com password admin
[INFO ] [2022-03-28 22:11:45,801] -------------PASS----------------
[INFO ] [2022-03-28 22:11:45,801] Login - Logout Portal Admin page
[INFO ] [2022-03-28 22:11:47,115] Login  Open link Portal page
[INFO ] [2022-03-28 22:11:48,853] Verify My account is display
[INFO ] [2022-03-28 22:11:48,892] -------------PASS----------------
[INFO ] [2022-03-28 22:11:49,000] Browser:FireFox
[INFO ] [2022-03-28 22:11:54,587] Register - Click to link to redirect to register page
